更新时间,#genre#
20240810-15-57-01,url


RespoTime,whitelist,#genre#
109.98ms,肥西新闻,http://112.30.194.221:20080/live/7210e3a27cc64ac4a3f7aba2e2b683d5.flv
110.00ms,内蒙古卫视,http://101.83.73.7:8686/udp/239.45.1.238:5140
110.06ms,山东卫视,http://116.233.242.71:5000/udp/239.45.3.238:5140
110.10ms,海南卫视,http://116.233.242.71:5000/udp/239.45.1.81:5140
110.12ms,浙江卫视,http://116.226.8.253:8881/udp/239.45.3.178:5140
110.34ms,CGTN法语,https://0472.org/hls/cgtnf.m3u8
110.53ms,安徽｜综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3.flv
110.67ms,江苏卫视,http://125.115.210.167:4022/udp/233.50.201.106:5140
110.72ms,DJ老歌60-70-80爱听,https://vd2.bdstatic.com/mda-nd59vsq0r1e2j3g2/sc/cae_h264_delogo/1649230737582909591/mda-nd59vsq0r1e2j3g2.mp4
110.75ms,CCTV14,http://125.113.160.127:8888/udp/233.50.201.124:5140
110.75ms,天津卫视,http://116.230.101.210:6066/udp/239.45.1.124:5140
110.76ms,宁夏卫视,http://125.114.241.240:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
110.78ms,康巴卫视,http://58.37.102.115:4022/udp/239.45.1.251:5140
